script	status	purpose	principal_output
step6_muchouchuu_extended_centered.py	AUTHORITATIVE	transport spectral-dimension inference	Step6 output directories
run_fourier_diffusion_calibration_krobust.py	AUTHORITATIVE	physical diffusion-scale calibration	fourier_diffusion_calibration.json
reconstruct_density_bootstrap_and_ratio.py	AUTHORITATIVE	interpolated density bootstrap and transport-density ratio	density_crossing_radii_interpolated.npy
analyze_homogeneity_redshift_evolution.py	AUTHORITATIVE	redshift-difference statistics	homogeneity_redshift_evolution_bootstrap_summary.json
plot_homogeneity_redshift_evolution_bootstrap.py	AUTHORITATIVE	redshift-evolution publication figure	figure_homogeneity_redshift_evolution_bootstrap.pdf
select_muchouchuu_vpeak.py	SUPERSEDED	earlier MuchoUchuu halo-selection implementation	not used for current manuscript
select_muchouchuu_vpeak_v4.py	AUTHORITATIVE	MuchoUchuu halo-selection implementation used for current analysis	MuchoUchuu selected tracer catalogue
plot_z0_z049_z103_z203_ds_physical_pub.py	AUTHORITATIVE	four-redshift spectral-dimension trajectory figure supporting Sect. 4.3 and Appendix F	figure_z0_z049_z103_z203_ds_physical_scale_pub_v2.pdf
make_appendix_figureA1_muchouchuu_diffusion_length_v3.py	AUTHORITATIVE	Appendix A1 real-space 50-percent containment sqrt(t) scaling diagnostic	appendix_figureA1_muchouchuu_diffusion_length_v3.pdf
merge_z203_64probes.py	AUTHORITATIVE	canonical z=2.03 64-probe merge preserving paired probe ordering	growth_test/z203/canonical_64x21/z203_return_probability_heat_trace_s64.csv
merge_grf_64probes.py	AUTHORITATIVE	canonical 64-probe merge for Ph(k)-matched Gaussian control	gaussian_pk_control_seed1001/grf_trace_merged_s64/return_probability_heat_trace_extended_s64.csv
merge_camb_64probes.py	AUTHORITATIVE	canonical 64-probe merge for CAMB Gaussian control	gaussian_camb_z0_seed3001/camb_trace_merged_s64/return_probability_heat_trace_extended_s64.csv
ouchuu_centered_updated_v3.py	AUTHORITATIVE	likely manuscript-era Figure 3 generator	figure3_muchouchuu_centered_updated_v5.pdf
make_figure3_muchouchuu_centered_updated_v4.py	AUTHORITATIVE	reproducible regeneration and numerical verification of fiducial z=0 Figure 3	figure3_muchouchuu_centered_authoritative.pdf
make_figure3_muchouchuu_centered_updated_v3.py	LEGACY	likely historical renderer of the preserved manuscript v5 Figure 3; exact generating command not recovered	figure3_muchouchuu_centered_updated_v5.pdf
